sentences,labels
Is there a project management software for Ubuntu like Microsoft Project?,Software Recommendation
Is there software that can view .dwg files?,Software Recommendation
update-manager: upgrade to 15.04 rather than 16.04,Make Update
How do I update Xubuntu 11.10 to Xubuntu 12.04 LTS?,Make Update
Is it recommended to upgrade to Lubuntu 15.04?,Software Recommendation
Keyboard shortcut to shutdown?,Shutdown Computer
A light alternative to gnome-system-monitor?,Software Recommendation
Password Management Applications?,Software Recommendation
What's the best Wireframing tool?,Software Recommendation
how to upgrade from ubuntu 15.04 to 15.10?,Make Update
Is there a software utility to adjust screen gamma/brightness/contrast?,Software Recommendation
What are some good PHP editors?,Software Recommendation
Is there any software that will do face recognition in photos?,Software Recommendation
Upgrading from 12.04 to 13.10 ( Unanswered questions ),Make Update
How to partially upgrade Ubuntu 11.10 from Ubuntu 11.04?,Make Update
What screenshot tools are available?,Software Recommendation
How do I fix a shutdown problem?,Shutdown Computer
How do I upgrade to the release version of 16.04 if I am running Beta?,Make Update
Upgrading from Ubuntu 14.04 to 15.04,Make Update
upgrading to Ubuntu 13.10 from Ubuntu 13.04,Make Update
No matter what I do Ubuntu 15.04 does not recognize HP LaserJet 1020,Setup Printer
Upgrading 16.04 to 16.04.1,Make Update
Which PDF Viewer would you recommend?,Software Recommendation
What does my computer do when I click 'Shut Down'?,Shutdown Computer
How can I automatically shutdown the system after a specific time?,Shutdown Computer
Using 12.04 can I compile packages with gcc for 10.04?,Make Update
What IRC clients are available?,Software Recommendation
Which application do you recommend for watching TV (DVB)?,Software Recommendation
Software to create a video slideshow?,Software Recommendation
How do I install drivers for the Panasonic MB1900CX All-in-One Printer/Scanner?,Setup Printer
Installing EPSON L355 on Ubuntu 14.04,Setup Printer
what is the right way to shutdown ubuntu using the command line?,Shutdown Computer
"What's a simple ""colour picker"" app for GNOME?",Software Recommendation
Is there a tool like wifi analyzer for ubuntu?,Software Recommendation
shutdown 5:30pm every day,Shutdown Computer
Tool for recovering deleted data from a flash drive,Software Recommendation
shutdown in specific way if no-one uses computer,Shutdown Computer
What is a good MongoDB GUI client?,Software Recommendation
How can I make shutdown not require admin password?,Shutdown Computer
Cannot upgrade from 12.04LTS to 14.04,Make Update
